,method,T,num_crossings0,num_crossings1,edge_cross_reduction,edge_cross_angle_reduction,aspect_ratio_reduction,num_nodes,num_edges
95,relax_and_recompute,0.0,168,153,15,-1.4597591062543387,0.1638614131178267,55,105
96,relax_and_recompute,0.0,1,1,0,16.028380475211264,0.0421533847818661,13,17
97,relax_and_recompute,0.0,0,0,0,0.0,0.0087163662247045,30,29
98,relax_and_recompute,0.0,3,4,-1,-9.905682406522075,-0.002170500293968,36,43
99,relax_and_recompute,0.0,36,40,-4,-3.781728400218512,-0.055822645815706,40,60
100,relax_and_recompute,0.0,0,0,0,0.0,0.098172582453912,13,17
101,relax_and_recompute,0.0,6,8,-2,-4.960402959672933,-0.0115319394462201,23,30
102,relax_and_recompute,0.0,0,2,-2,-49.15219570851704,-0.0046408480681885,12,16
103,relax_and_recompute,0.0,0,3,-3,-56.243046788228376,0.0779735480437637,26,26
104,relax_and_recompute,0.0,0,0,0,0.0,-0.0250790796226426,22,31
105,relax_and_recompute,0.0,0,1,-1,-16.698583100951765,0.0054628957103297,68,68
106,relax_and_recompute,0.0,0,0,0,0.0,-0.0161170479303404,23,22
107,relax_and_recompute,0.0,0,0,0,0.0,-0.0349525596057489,43,42
108,relax_and_recompute,0.0,0,0,0,0.0,0.0088342706128086,18,17
109,relax_and_recompute,0.0,3,1,2,16.774590073756514,-0.1297888041253873,28,42
110,relax_and_recompute,0.0,45,50,-5,1.8841541587735409,0.0156030402407787,21,44
111,relax_and_recompute,0.0,0,0,0,0.0,-0.0396642980748244,36,37
112,relax_and_recompute,0.0,0,0,0,0.0,0.0301870067049527,15,14
113,relax_and_recompute,0.0,1,1,0,66.99851956452005,0.1736018005328949,14,16
114,relax_and_recompute,0.0,197,211,-14,1.6294158914226389,0.1952030013326532,61,119
115,relax_and_recompute,0.0,0,1,-1,-11.350899762409592,0.0118345485308287,19,20
116,relax_and_recompute,0.0,0,2,-2,-52.79175496631128,0.0259444423045324,22,22
117,relax_and_recompute,0.0,0,0,0,0.0,-0.0413225144380497,54,58
118,relax_and_recompute,0.0,651,578,73,-0.2210914170630502,0.0196220443446196,65,135
119,relax_and_recompute,0.0,1,3,-2,14.445875885923977,0.2759374392038085,16,18
120,relax_and_recompute,0.0,7,8,-1,8.396787180550831,0.1080910940256584,17,27
121,relax_and_recompute,0.0,22,4,18,-18.61747849085588,0.1446288399504806,54,71
122,relax_and_recompute,0.0,0,2,-2,-69.51467976885004,-0.0285407675374049,23,22
123,relax_and_recompute,0.0,1,2,-1,29.01115049910844,-0.3825499618326466,13,16
124,relax_and_recompute,0.0,155,149,6,-2.794184228530185,-0.0034415506621975,85,131
125,relax_and_recompute,0.0,44,58,-14,6.627037203531586,0.0061263330641294,28,55
126,relax_and_recompute,0.0,4,4,0,17.431676694704336,-0.0893290688064797,18,24
127,relax_and_recompute,0.0,0,2,-2,-42.90819456532754,-0.0171451020274844,19,22
128,relax_and_recompute,0.0,0,1,-1,-82.00366620821269,0.0734444320361835,47,46
129,relax_and_recompute,0.0,21,21,0,-3.6879171991704425,0.0716976646866419,39,64
130,relax_and_recompute,0.0,0,0,0,0.0,0.0182227768903252,17,18
131,relax_and_recompute,0.0,1,4,-3,21.828007633524308,-0.2884920192011501,23,24
132,relax_and_recompute,0.0,2,2,0,-2.1515607672736223,0.0826566971112059,13,16
133,relax_and_recompute,0.0,22,13,9,-0.7653465239512514,0.0480027811499798,40,56
134,relax_and_recompute,0.0,1,4,-3,21.349478086386988,-0.1111849075203919,10,15
135,relax_and_recompute,0.0,0,1,-1,-66.0749602970382,0.2212442968175675,21,20
136,relax_and_recompute,0.0,4,5,-1,20.74881945520164,-0.1306207019803847,30,35
137,relax_and_recompute,0.0,1,3,-2,9.643576919002086,-0.0210553555697637,71,77
138,relax_one,0.0,0,0,0,0.0,0.0,17,18
139,relax_one,0.0,1,1,0,0.0,0.0,43,48
140,relax_one,0.0,3,3,0,0.0,0.0,38,45
141,relax_one,0.0,0,0,0,0.0,0.0,12,12
142,relax_one,0.0,20,18,2,-3.2752299140735204,0.0114158034923678,23,38
143,relax_one,0.0,0,1,-1,-78.11694026732484,-0.0295512202700576,19,22
144,relax_one,0.0,976,978,-2,0.1423455471242221,-0.0025418055405018,35,143
145,relax_one,0.0,0,1,-1,-50.19567681247512,-0.0041327022016595,92,91
146,relax_one,0.0,2,2,0,0.0,0.0,43,51
147,relax_one,0.0,1,1,0,0.0,0.0,35,36
148,relax_one,0.0,1,1,0,0.0,0.0,11,13
149,relax_one,0.0,22,20,2,-3.01441643358082,0.0082886474985522,10,25
150,relax_one,0.0,16,16,0,0.0,0.0,86,136
151,relax_one,0.0,0,0,0,0.0,0.0,10,12
152,relax_one,0.0,0,0,0,0.0,0.0,32,31
153,relax_one,0.0,2,2,0,4.970962038347736,-0.0904350603192869,20,26
154,relax_one,0.0,0,0,0,0.0,0.0,11,11
155,relax_one,0.0,2,2,0,0.0,0.0,34,42
156,relax_one,0.0,11,11,0,0.0,0.0,14,25
157,relax_one,0.0,8,7,1,13.99583228956454,0.1582030612456263,31,46
158,relax_one,0.0,0,0,0,0.0,0.0,42,45
159,relax_one,0.0,1265,1240,25,0.1009906236120983,0.0001682713719424,39,173
160,relax_one,0.0,11,11,0,0.0,0.0,14,24
161,relax_one,0.0,0,0,0,0.0,0.0,24,25
162,relax_one,0.0,2,2,0,0.0,0.0,12,19
163,relax_one,0.0,59,59,0,0.4609819410147793,0.0044552421238692,41,72
164,relax_one,0.0,182,191,-9,1.446975953367918,0.0358261975695221,59,115
165,relax_one,0.0,6,6,0,0.0,0.0,32,37
166,relax_one,0.0,1,1,0,0.0,0.0,20,20
167,relax_one,0.0,41,32,9,2.305146048931391,0.0775874222420341,12,31
168,relax_one,0.0,0,0,0,0.0,0.0,10,10
169,relax_one,0.0,0,0,0,0.0,0.0,20,21
170,relax_one,0.0,18,18,0,0.0,0.0,39,52
171,relax_one,0.0,378,395,-17,-0.4859193577000411,-0.0010324457545943,42,109
172,relax_one,0.0,1,1,0,0.0,0.0,25,28
173,relax_one,0.0,170,170,0,0.0,0.0,56,106
174,relax_one,0.0,567,595,-28,0.7834114754025379,-0.002967395777259,87,189
175,relax_one,0.0,41,41,0,-3.1762323320181167,-0.0099859384844429,56,82
176,relax_one,0.0,2,2,0,0.0,0.0,13,15
177,relax_one,0.0,104,88,16,-3.3995451437074067,-0.111275141568526,36,63
178,relax_one,0.0,0,0,0,0.0,0.0,16,15
179,relax_one,0.0,0,0,0,0.0,0.0,67,66
180,relax_one,0.0,13,13,0,0.0,0.0,42,60
181,relax_one,0.0,0,0,0,0.0,0.0,39,38
182,relax_one,0.0,8,8,0,0.0,0.0,20,36
183,relax_one,0.0,0,0,0,0.0,0.0,10,9
184,relax_one,0.0,1,1,0,0.0,0.0,13,15
185,relax_one,0.0,6,7,-1,12.522285729298716,0.0299062089849014,34,41
186,relax_one,0.0,3,3,0,0.0,0.0,37,42
187,relax_one,0.0,36,36,0,0.0,0.0,18,29
188,relax_one,0.0,0,0,0,0.0,0.0,23,22
189,relax_one,0.0,0,0,0,0.0,0.0,13,12
190,relax_one,0.0,0,0,0,0.0,0.0,15,14
191,relax_one,0.0,0,0,0,0.0,0.0,69,68
192,relax_one,0.0,0,0,0,0.0,0.0,40,39
193,relax_one,0.0,0,0,0,0.0,0.0,89,93
194,relax_one,0.0,13,13,0,-2.975681235416161,-0.0847204542309565,20,32
195,relax_one,0.0,2,2,0,0.0,0.0,69,83
196,relax_one,0.0,2,2,0,0.0,0.0,12,15
197,relax_one,0.0,0,0,0,0.0,0.0,15,14
198,relax_one,0.0,0,0,0,0.0,0.0,23,26
199,relax_one,0.0,2,2,0,0.0,0.0,12,20
200,relax_one,0.0,201,201,0,0.0,0.0,64,122
201,relax_one,0.0,7,7,0,0.0,0.0,58,71
202,relax_one,0.0,0,0,0,0.0,0.0,20,19
203,relax_one,0.0,510,510,0,0.0060639005596385,-0.0006916839131552,100,191
204,relax_one,0.0,34,34,0,0.0,0.0,41,61
205,relax_one,0.0,33,34,-1,-0.6264707699284884,0.0331924782664471,13,31
206,relax_one,0.0,5,5,0,0.0,0.0,10,15
207,relax_one,0.0,6,6,0,0.0,0.0,37,47
208,relax_one,0.0,0,0,0,0.0,0.0,21,21
209,relax_one,0.0,0,0,0,0.0,0.0,11,10
